Observations Error Rate: 0.161433
Viterbi Error Rate: 0.104167
States | Observations | Viterbi
----------------------------
i | i | i | 
n | n | n | 
t | t | t | 
r | r | r | 
o | o | o | 
d | d | d | 
u | u | u | 
c | c | c | 
t | t | t | 
i | i | i | 
o | p | o | 
n | n | n | 
_ | _ | _ | 
t | t | t | 
h | h | h | 
e | e | e | 
_ | _ | _ | 
i | i | i | 
n | n | n | 
d | d | d | 
u | u | u | 
s | s | s | 
t | t | t | 
r | f | r | 
i | i | i | 
a | a | a | 
l | l | l | 
_ | _ | _ | 
r | r | r | 
e | e | e | 
v | v | v | 
o | o | o | 
l | l | l | 
u | h | u | 
t | t | t | 
i | j | h | 
o | o | o | 
n | n | n | 
_ | _ | _ | 
a | a | a | 
n | n | n | 
d | d | d | 
_ | _ | _ | 
i | i | i | 
t | t | t | 
s | s | s | 
_ | _ | _ | 
c | c | c | 
o | o | o | 
n | n | n | 
s | s | s | 
e | e | e | 
q | q | q | 
u | u | u | 
e | e | e | 
n | n | n | 
c | c | c | 
e | e | e | 
s | s | s | 
_ | _ | _ | 
h | b | b | 
a | a | a | 
v | f | r | 
e | w | e | 
_ | _ | _ | 
b | n | n | 
e | e | e | 
e | w | e | 
n | n | n | 
_ | _ | _ | 
a | a | a | 
_ | _ | _ | 
d | d | d | 
i | i | i | 
s | s | s | 
a | z | s | 
s | s | s | 
t | t | t | 
e | e | e | 
r | r | r | 
_ | _ | _ | 
f | r | r | 
o | k | o | 
r | r | r | 
_ | _ | _ | 
t | t | t | 
h | h | h | 
e | e | e | 
_ | _ | _ | 
h | y | t | 
u | u | u | 
m | m | m | 
a | a | a | 
n | b | n | 
_ | _ | _ | 
r | r | r | 
a | a | a | 
c | c | c | 
e | e | e | 
_ | _ | _ | 
t | t | t | 
h | h | h | 
e | d | e | 
y | y | y | 
_ | _ | _ | 
h | h | h | 
a | a | a | 
v | v | v | 
e | e | e | 
_ | _ | _ | 
g | g | g | 
r | r | r | 
e | w | e | 
a | a | a | 
t | t | t | 
l | k | l | 
y | y | y | 
_ | _ | _ | 
i | i | i | 
n | n | n | 
c | c | c | 
r | r | r | 
e | e | e | 
a | a | a | 
s | s | s | 
e | e | e | 
d | d | d | 
_ | _ | _ | 
t | t | t | 
h | h | h | 
e | e | e | 
_ | _ | _ | 
l | l | l | 
i | j | i | 
f | t | t | 
e | e | e | 
_ | _ | _ | 
e | e | e | 
x | s | s | 
p | o | o | 
e | e | e | 
c | c | c | 
t | t | t | 
a | a | a | 
n | n | n | 
c | d | d | 
y | y | y | 
_ | _ | _ | 
o | o | o | 
f | d | d | 
_ | _ | _ | 
t | t | t | 
h | h | h | 
o | o | o | 
s | s | s | 
e | r | e | 
_ | _ | _ | 
o | o | o | 
f | f | f | 
_ | _ | _ | 
u | i | i | 
s | s | s | 
_ | _ | _ | 
w | w | w | 
h | h | h | 
o | o | o | 
_ | _ | _ | 
l | l | l | 
i | i | i | 
v | b | b | 
e | e | e | 
_ | _ | _ | 
i | i | i | 
n | n | n | 
_ | _ | _ | 
a | a | a | 
d | d | d | 
v | v | v | 
a | a | a | 
n | n | n | 
c | c | c | 
e | e | e | 
d | d | d | 
_ | _ | _ | 
c | c | c | 
o | o | o | 
u | u | u | 
n | b | n | 
t | f | f | 
r | r | r | 
i | i | i | 
e | e | e | 
s | s | s | 
_ | _ | _ | 
b | b | b | 
u | u | u | 
t | t | t | 
_ | _ | _ | 
t | t | t | 
h | h | h | 
e | e | e | 
y | y | y | 
_ | _ | _ | 
h | h | h | 
a | a | a | 
v | v | v | 
e | e | e | 
_ | _ | _ | 
d | f | f | 
e | e | e | 
s | w | s | 
t | t | t | 
a | a | a | 
b | b | b | 
i | i | u | 
l | p | p | 
i | u | u | 
z | z | s | 
e | e | e | 
d | e | e | 
_ | _ | _ | 
s | x | c | 
o | o | o | 
c | c | c | 
i | i | i | 
e | w | s | 
t | t | t | 
y | y | y | 
_ | _ | _ | 
h | h | h | 
a | a | a | 
v | v | v | 
e | e | e | 
_ | _ | _ | 
m | m | m | 
a | a | a | 
d | d | d | 
e | e | e | 
_ | _ | _ | 
l | l | l | 
i | i | i | 
f | f | v | 
e | e | e | 
_ | _ | _ | 
u | u | i | 
n | j | n | 
f | f | t | 
u | u | i | 
l | o | o | 
f | r | r | 
i | i | i | 
l | l | l | 
l | l | l | 
i | k | i | 
n | n | n | 
g | g | g | 
_ | _ | _ | 
h | h | h | 
a | a | a | 
v | v | v | 
e | e | e | 
_ | _ | _ | 
s | w | w | 
u | u | i | 
b | b | b | 
j | j | j | 
e | w | e | 
c | d | s | 
t | t | t | 
e | e | e | 
d | d | d | 
_ | _ | _ | 
h | h | h | 
u | u | u | 
m | m | m | 
a | a | a | 
n | h | n | 
_ | _ | _ | 
b | b | b | 
e | e | e | 
i | i | i | 
n | n | n | 
g | t | t | 
s | s | s | 
_ | _ | _ | 
t | t | t | 
o | o | o | 
_ | _ | _ | 
i | i | i | 
n | n | n | 
d | c | c | 
i | i | i | 
g | h | n | 
n | b | g | 
i | j | i | 
t | t | t | 
i | i | i | 
e | d | d | 
s | s | s | 
_ | _ | _ | 
h | h | h | 
a | a | a | 
v | v | v | 
e | e | e | 
_ | _ | _ | 
l | l | l | 
e | e | e | 
d | d | d | 
_ | _ | _ | 
t | t | t | 
o | o | o | 
_ | _ | _ | 
w | q | w | 
i | i | i | 
d | d | d | 
e | e | e | 
s | s | s | 
p | p | p | 
r | r | r | 
e | e | e | 
a | z | s | 
d | e | e | 
_ | _ | _ | 
p | l | l | 
s | s | s | 
y | y | y | 
c | x | s | 
h | h | u | 
o | l | l | 
l | l | l | 
o | o | o | 
g | t | t | 
i | i | i | 
c | c | c | 
a | a | a | 
l | l | l | 
_ | _ | _ | 
s | s | s | 
u | h | u | 
f | f | f | 
f | f | f | 
e | e | e | 
r | d | d | 
i | i | i | 
n | n | n | 
g | g | g | 
_ | _ | _ | 
i | k | i | 
n | n | n | 
_ | _ | _ | 
t | t | t | 
h | n | h | 
e | e | e | 
_ | _ | _ | 
t | t | t | 
h | h | h | 
i | i | i | 
r | r | r | 
d | d | d | 
_ | _ | _ | 
w | w | w | 
o | k | o | 
r | r | r | 
l | l | l | 
d | d | d | 
_ | _ | _ | 
t | t | t | 
o | o | o | 
_ | _ | _ | 
p | p | p | 
h | h | h | 
y | y | y | 
s | x | s | 
i | i | i | 
c | c | c | 
a | q | a | 
l | l | l | 
_ | _ | _ | 
s | s | s | 
u | u | u | 
f | f | r | 
f | c | c | 
e | e | e | 
r | f | f | 
i | i | i | 
n | m | n | 
g | g | g | 
_ | _ | _ | 
a | a | a | 
s | s | s | 
_ | _ | _ | 
w | w | w | 
e | e | e | 
l | o | o | 
l | l | l | 
_ | _ | _ | 
a | a | a | 
n | n | n | 
d | d | d | 
_ | _ | _ | 
h | h | h | 
a | q | a | 
v | v | v | 
e | e | e | 
_ | _ | _ | 
i | i | i | 
n | n | n | 
f | g | g | 
l | o | o | 
i | i | i | 
c | d | s | 
t | t | t | 
e | e | e | 
d | x | s | 
_ | _ | _ | 
s | s | s | 
e | r | e | 
v | v | v | 
e | e | e | 
r | r | r | 
e | e | e | 
_ | _ | _ | 
d | d | d | 
a | a | a | 
m | m | m | 
a | s | a | 
g | g | g | 
e | e | e | 
_ | _ | _ | 
o | o | o | 
n | n | n | 
_ | _ | _ | 
t | t | t | 
h | h | h | 
e | e | e | 
_ | _ | _ | 
n | n | n | 
a | a | a | 
t | t | t | 
u | u | u | 
r | r | r | 
a | a | a | 
l | l | l | 
_ | _ | _ | 
w | w | w | 
o | o | o | 
r | r | r | 
l | l | l | 
d | d | d | 
_ | _ | _ | 
t | t | t | 
h | h | h | 
e | e | e | 
_ | _ | _ | 
c | c | c | 
o | o | o | 
n | n | n | 
t | f | t | 
i | i | i | 
n | n | n | 
u | u | u | 
e | e | e | 
d | d | d | 
_ | _ | _ | 
d | d | d | 
e | e | e | 
v | v | v | 
e | e | e | 
l | l | l | 
o | o | o | 
p | p | p | 
m | m | m | 
e | e | e | 
n | n | n | 
t | g | g | 
_ | _ | _ | 
o | o | o | 
f | f | f | 
_ | _ | _ | 
t | t | t | 
e | w | e | 
c | v | c | 
h | h | h | 
n | j | i | 
o | l | l | 
l | l | l | 
o | o | o | 
g | g | g | 
y | y | y | 
_ | _ | _ | 
w | w | w | 
i | i | i | 
